Datos 50 iteraciones,Datos 10000 iteraciones
,0.281053
,0.808249
,0.619929
,0.942468
,0.216888
,0.679391
,0.871275
,0.44862
,0.98944
,0.0417923
,0.160183
,0.538098
,0.994194
,0.023088
,0.0902198
,0.328321
,0.882105
,0.415983
,0.971765
,0.109753
,0.390828
,0.952326
,0.181604
,0.594496
,0.964282
,0.137769
,0.475155
,0.997531
,0.009852
,0.0390197
,0.149989
,0.509969
,0.999602
,0.00158938
,0.00634742
,0.0252285
,0.0983681
,0.354767
,0.91563
,0.309007
,0.854087
,0.498491
,0.999991
,3.64551e-05
,0.000145815
,0.000583175
,0.00233134
,0.00930361
,0.0368682
,0.142036
,0.487447
,0.99937
,0.00251984
,0.010054
,0.0398115
,0.152906
,0.518104
,0.998689
,0.00523715
,0.0208389
,0.0816186
,0.299828
,0.839724
,0.538349
,0.994117
,0.023392
,0.0913792
,0.332116
,0.88726
,0.400119
,0.960095
,0.153251
,0.519061
,0.998547
,0.00580467
,0.0230839
,0.0902042
,0.32827
,0.882035
,0.416198
,0.971909
,0.109208
,0.389126
,0.950828
,0.187016
,0.608163
,0.953203
,0.178429
,0.58637
,0.970161
,0.115794
,0.409542
,0.96727
,0.126636
,0.442397
,0.986728
,0.0523842
,0.198561
,0.636537
,0.925431
,0.276035
,0.799359
,0.641538
,0.919868
,0.294842
,0.831641
,0.560056
,0.985573
,0.056875
,0.214561
,0.674098
,0.87876
,0.426165
,0.978194
,0.0853237
,0.312174
,0.858886
,0.484803
,0.999076
,0.00369166
,0.0147121
,0.0579826
,0.218483
,0.682992
,0.866056
,0.464012
,0.99482
,0.0206145
,0.0807581
,0.296945
,0.835074
,0.5509
,0.989637
,0.0410239
,0.157364
,0.530402
,0.996303
,0.0147335
,0.0580657
,0.218776
,0.683653
,0.865086
,0.466848
,0.995604
,0.0175075
,0.0688039
,0.25628
,0.762401
,0.724582
,0.798251
,0.644184
,0.916844
,0.304966
,0.847847
,0.516011
,0.998975
,0.00409745
,0.0163226
,0.0642249
,0.2404
,0.730432
,0.787605
,0.669133
,0.885576
,0.405324
,0.964146
,0.138274
,0.476619
,0.997813
,0.00872789
,0.0346068
,0.133637
,0.463112
,0.994557
,0.0216529
,0.0847361
,0.310224
,0.85594
,0.493228
,0.999817
,0.000733578
,0.00293216
,0.0116942
,0.04623
,0.176371
,0.581057
,0.973719
,0.102362
,0.367535
,0.929812
,0.261048
,0.771607
,0.704919
,0.832033
,0.559015
,0.986069
,0.0549487
,0.207717
,0.658283
,0.899785
,0.360686
,0.922367
,0.286425
,0.817543
,0.596666
,0.962623
,0.143922
,0.492833
,0.999795
,0.00082179
,0.00328446
,0.0130947
,0.0516928
,0.196083
,0.630537
,0.93184
,0.254056
,0.758047
,0.733648
,0.781634
,0.682728
,0.866442
,0.462882
,0.994489
,0.0219228
,0.0857687
,0.31365
,0.861094
,0.478444
,0.998141
,0.00742109
,0.0294641
,0.114384
,0.405201
,0.964052
,0.138622
,0.477624
,0.997997
,0.00799502
,0.0317244
,0.122872
,0.431098
,0.98101
,0.0745182
,0.275861
,0.799047
,0.642283
,0.919022
,0.297683
,0.836272
,0.547685
,0.990905
,0.0360507
,0.139004
,0.478728
,0.99819
,0.00722666
,0.0286978
,0.111497
,0.396261
,0.956953
,0.164776
,0.550501
,0.989799
,0.040389
,0.155031
,0.523985
,0.997699
,0.00918365
,0.0363973
,0.14029
,0.482435
,0.998766
,0.00493047
,0.0196246
,0.076958
,0.284142
,0.813621
,0.606567
,0.954574
,0.173451
,0.573463
,0.978413
,0.0844851
,0.309389
,0.85467
,0.496836
,0.99996
,0.000160183
,0.000640631
,0.00256088
,0.0102173
,0.0404516
,0.155261
,0.52462
,0.997575
,0.00967517
,0.0383262
,0.147429
,0.502776
,0.999969
,0.00012328
,0.000493059
,0.00197127
,0.00786952
,0.0312304
,0.12102
,0.425497
,0.977797
,0.0868397
,0.317194
,0.866328
,0.463215
,0.994587
,0.0215335
,0.0842794
,0.308705
,0.853626
,0.499796
,1
,6.65967e-07
,2.66387e-06
,1.06554e-05
,4.26213e-05
,0.000170478
,0.000681796
,0.00272532
,0.0108716
,0.0430136
,0.164654
,0.550171
,0.989931
,0.0398687
,0.153117
,0.518688
,0.998603
,0.00558022
,0.0221963
,0.0868146
,0.317111
,0.866207
,0.46357
,0.994691
,0.0211221
,0.0827038
,0.303455
,0.845481
,0.522571
,0.997962
,0.00813492
,0.032275
,0.124933
,0.437299
,0.984275
,0.0619125
,0.232317
,0.713384
,0.817869
,0.595837
,0.963261
,0.141558
,0.486076
,0.999225
,0.00309957
,0.0123599
,0.0488284
,0.185777
,0.605055
,0.955854
,0.168788
,0.561195
,0.985021
,0.0590201
,0.222147
,0.691191
,0.853784
,0.499347
,0.999998
,6.82151e-06
,2.72859e-05
,0.00010914
,0.000436514
,0.0017453
,0.006969
,0.0276817
,0.107662
,0.384283
,0.946438
,0.202772
,0.646622
,0.914008
,0.31439
,0.862195
,0.475258
,0.997551
,0.00977076
,0.0387012
,0.148814
,0.506672
,0.999822
,0.000712178
,0.00284668
,0.0113543
,0.0449016
,0.171542
,0.56846
,0.981253
,0.0735835
,0.272676
,0.793295
,0.655913
,0.902765
,0.351121
,0.91134
,0.323196
,0.874962
,0.437614
,0.984432
,0.0613019
,0.230176
,0.70878
,0.825644
,0.575823
,0.977003
,0.0898709
,0.327176
,0.880528
,0.420794
,0.974906
,0.0978589
,0.35313
,0.913717
,0.315353
,0.863622
,0.471115
,0.996663
,0.0133051
,0.0525124
,0.19902
,0.637643
,0.924218
,0.280158
,0.806677
,0.623796
,0.938698
,0.230175
,0.708778
,0.825646
,0.575818
,0.977007
,0.0898584
,0.327136
,0.880472
,0.420965
,0.975014
,0.0974463
,0.351802
,0.912149
,0.320532
,0.871165
,0.448947
,0.989574
,0.0412674
,0.158258
,0.532849
,0.995684
,0.01719
,0.067578
,0.252045
,0.754073
,0.741788
,0.766154
,0.716648
,0.812255
,0.609987
,0.951612
,0.184188
,0.601051
,0.959155
,0.156708
,0.528603
,0.996728
,0.0130469
,0.0515069
,0.195416
,0.628913
,0.933525
,0.248223
,0.746434
,0.757081
,0.735637
,0.777901
,0.691084
,0.853947
,0.498885
,0.999995
,1.9902e-05
,7.96064e-05
,0.0003184
,0.0012732
,0.0050863
,0.0202417
,0.079328
,0.29214
,0.827177
,0.57182
,0.979367
,0.0808278
,0.297179
,0.835454
,0.549882
,0.990047
,0.0394148
,0.151445
,0.514038
,0.999212
,0.00315069
,0.012563
,0.0496208
,0.188634
,0.612206
,0.949639
,0.191298
,0.618812
,0.943534
,0.213109
,0.670774
,0.883345
,0.412186
,0.969155
,0.119575
,0.421107
,0.975104
,0.0971056
,0.350704
,0.910843
,0.324832
,0.877264
,0.430687
,0.980783
,0.0753914
,0.27883
,0.804336
,0.629519
,0.932899
,0.250394
,0.750788
,0.748422
,0.753147
,0.743667
,0.762506
,0.724363
,0.798644
,0.643246
,0.917922
,0.301364
,0.842176
,0.531663
,0.99599
,0.0159768
,0.0628861
,0.235726
,0.720637
,0.805278
,0.627222
,0.935259
,0.2422
,0.734157
,0.780683
,0.684869
,0.863294
,0.47207
,0.99688
,0.0124424
,0.0491503
,0.186938
,0.607969
,0.953371
,0.17782
,0.584801
,0.971235
,0.111749
,0.397044
,0.9576
,0.162409
,0.544129
,0.99221
,0.0309157
,0.11984
,0.421913
,0.975609
,0.0951827
,0.344492
,0.903269
,0.349497
,0.909396
,0.32958
,0.883829
,0.410703
,0.968104
,0.123515
,0.433035
,0.982063
,0.070461
,0.261985
,0.773396
,0.701019
,0.838365
,0.542036
,0.992932
,0.028072
,0.109136
,0.388901
,0.950628
,0.187738
,0.609969
,0.951628
,0.18413
,0.600905
,0.959272
,0.156275
,0.527413
,0.996994
,0.0119874
,0.0473747
,0.180521
,0.591733
,0.96634
,0.130108
,0.452719
,0.991058
,0.0354478
,0.136765
,0.472242
,0.996918
,0.0122904
,0.0485572
,0.184798
,0.60259
,0.957901
,0.161306
,0.541146
,0.993228
,0.0269039
,0.10472
,0.375016
,0.937516
,0.234319
,0.717655
,0.810505
,0.614346
,0.9477
,0.198259
,0.635811
,0.926222
,0.273339
,0.7945
,0.653079
,0.906267
,0.339788
,0.897328
,0.368521
,0.930853
,0.257463
,0.764702
,0.71973
,0.806874
,0.623313
,0.939176
,0.228498
,0.705147
,0.831659
,0.56001
,0.985595
,0.0567894
,0.214258
,0.673405
,0.879723
,0.423242
,0.976433
,0.0920473
,0.334298
,0.890172
,0.391064
,0.952532
,0.18086
,0.592598
,0.965702
,0.132485
,0.459731
,0.993514
,0.0257766
,0.100449
,0.361435
,0.923199
,0.283609
,0.8127
,0.608875
,0.952585
,0.180668
,0.592108
,0.966065
,0.131135
,0.455753
,0.992169
,0.0310789
,0.120452
,0.423773
,0.976758
,0.0908073
,0.330245
,0.884733
,0.407921
,0.966086
,0.131056
,0.455521
,0.992087
,0.0314034
,0.121669
,0.427462
,0.978953
,0.0824155
,0.302493
,0.843963
,0.526757
,0.997136
,0.0114222
,0.045167
,0.172508
,0.570995
,0.979839
,0.0790185
,0.291098
,0.82544
,0.576354
,0.97668
,0.0911048
,0.331219
,0.886052
,0.403857
,0.963026
,0.142428
,0.48857
,0.999477
,0.00208931
,0.00833977
,0.0330809
,0.127946
,0.446303
,0.988467
,0.045601
,0.174086
,0.575121
,0.977428
,0.0882515
,0.321853
,0.873054
,0.443322
