Datos 50 iteraciones,Datos 10000 iteraciones
,0.995106
,0.0194816
,0.0764083
,0.28228
,0.810393
,0.614626
,0.947444
,0.199176
,0.638019
,0.923803
,0.281563
,0.809141
,0.617728
,0.94456
,0.209465
,0.662358
,0.894559
,0.377292
,0.939771
,0.226407
,0.700588
,0.839058
,0.540158
,0.993549
,0.0256367
,0.099918
,0.359738
,0.921306
,0.290006
,0.823609
,0.581108
,0.973686
,0.102486
,0.36793
,0.93023
,0.259607
,0.768845
,0.710889
,0.822104
,0.584996
,0.971103
,0.112248
,0.398594
,0.958867
,0.157763
,0.531494
,0.996032
,0.0158071
,0.0622289
,0.233426
,0.715753
,0.813803
,0.60611
,0.954963
,0.172035
,0.569756
,0.980536
,0.0763395
,0.282047
,0.809986
,0.615634
,0.946515
,0.202498
,0.645971
,0.91477
,0.311864
,0.858419
,0.486143
,0.999232
,0.00307
,0.0122423
,0.0483697
,0.18412
,0.60088
,0.959293
,0.156201
,0.527208
,0.997039
,0.0118097
,0.0466811
,0.178008
,0.585284
,0.970907
,0.112988
,0.400887
,0.960706
,0.150999
,0.512793
,0.999345
,0.0026167
,0.0104394
,0.0413217
,0.158457
,0.533393
,0.99554
,0.0177624
,0.0697875
,0.259669
,0.768964
,0.710634
,0.822533
,0.583891
,0.971849
,0.109433
,0.389829
,0.951449
,0.184774
,0.602529
,0.957951
,0.161124
,0.540652
,0.99339
,0.026266
,0.102304
,0.367353
,0.929619
,0.261711
,0.772874
,0.702159
,0.836527
,0.546999
,0.991165
,0.0350297
,0.13521
,0.467714
,0.995831
,0.0166082
,0.0653296
,0.244247
,0.738361
,0.772736
,0.702459
,0.836041
,0.548306
,0.990666
,0.0369872
,0.142477
,0.488708
,0.99949
,0.00203904
,0.00813953
,0.0322931
,0.125001
,0.437503
,0.984377
,0.061517
,0.23093
,0.710406
,0.822917
,0.5829
,0.972511
,0.106935
,0.381998
,0.944303
,0.210381
,0.664483
,0.891781
,0.38603
,0.948043
,0.197028
,0.632832
,0.929422
,0.262385
,0.774157
,0.699352
,0.841036
,0.534778
,0.995162
,0.019259
,0.0755522
,0.279376
,0.805301
,0.627165
,0.935316
,0.242001
,0.733746
,0.781452
,0.683139
,0.86584
,0.464645
,0.995
,0.0199001
,0.0780165
,0.28772
,0.819748
,0.591044
,0.966844
,0.128226
,0.447136
,0.988822
,0.0442136
,0.169035
,0.561849
,0.984699
,0.060268
,0.226543
,0.700886
,0.83858
,0.541454
,0.993126
,0.0273064
,0.106243
,0.379821
,0.942228
,0.217736
,0.681309
,0.868508
,0.456807
,0.992538
,0.0296271
,0.114997
,0.407092
,0.965472
,0.133343
,0.46225
,0.9943
,0.0226704
,0.088626
,0.323086
,0.874805
,0.438084
,0.984666
,0.060397
,0.226997
,0.701877
,0.836982
,0.545771
,0.99162
,0.0332392
,0.128538
,0.448063
,0.98921
,0.0426942
,0.163486
,0.547032
,0.991152
,0.0350795
,0.135396
,0.468255
,0.995969
,0.0160587
,0.0632034
,0.236835
,0.722977
,0.801126
,0.637293
,0.924603
,0.278851
,0.804372
,0.629431
,0.932991
,0.250075
,0.750151
,0.749698
,0.750603
,0.748793
,0.752408
,0.74516
,0.759587
,0.730459
,0.787554
,0.669251
,0.885416
,0.405817
,0.964518
,0.136892
,0.472609
,0.996999
,0.0119679
,0.0472988
,0.180247
,0.591031
,0.966853
,0.128191
,0.447033
,0.988778
,0.0443835
,0.169655
,0.563487
,0.983877
,0.0634508
,0.237699
,0.724793
,0.797872
,0.645089
,0.915797
,0.308453
,0.853239
,0.50089
,0.999997
,1.26777e-05
,5.07102e-05
,0.00020283
,0.000811157
,0.003242
,0.0129259
,0.0510355
,0.193723
,0.624779
,0.937721
,0.2336
,0.716125
,0.81316
,0.607723
,0.953583
,0.177051
,0.582816
,0.972566
,0.106725
,0.381339
,0.943678
,0.2126
,0.669604
,0.884937
,0.407293
,0.965622
,0.132785
,0.460614
,0.993795
,0.0246664
,0.0962319
,0.347885
,0.907444
,0.335956
,0.892359
,0.384219
,0.946379
,0.202984
,0.647126
,0.913416
,0.31635
,0.86509
,0.466836
,0.995601
,0.0175204
,0.0688536
,0.256451
,0.762736
,0.723879
,0.799513
,0.641168
,0.920286
,0.293439
,0.829331
,0.566166
,0.982488
,0.0688196
,0.256334
,0.762507
,0.72436
,0.79865
,0.643233
,0.917938
,0.301312
,0.842093
,0.53189
,0.995932
,0.016205
,0.0637695
,0.238812
,0.727123
,0.79366
,0.655054
,0.903833
,0.347677
,0.907191
,0.336782
,0.893439
,0.380822
,0.943186
,0.214343
,0.673601
,0.879451
,0.424069
,0.976938
,0.0901215
,0.327999
,0.881662
,0.417337
,0.972667
,0.106344
,0.380138
,0.942533
,0.216659
,0.678871
,0.872021
,0.446401
,0.988509
,0.0454375
,0.173492
,0.573569
,0.97835
,0.084724
,0.310183
,0.855879
,0.493402
,0.999826
,0.00069647
,0.00278394
,0.0111048
,0.0439258
,0.167985
,0.559065
,0.986045
,0.0550395
,0.20804
,0.659039
,0.898827
,0.363748
,0.925742
,0.274976
,0.797457
,0.646076
,0.914647
,0.312273
,0.859034
,0.484379
,0.999024
,0.00390032
,0.0155404
,0.0611957
,0.229803
,0.707975
,0.826986
,0.57232
,0.979079
,0.0819322
,0.300877
,0.8414
,0.533783
,0.995435
,0.0181772
,0.0713873
,0.265165
,0.77941
,0.687721
,0.859043
,0.484352
,0.999021
,0.00391378
,0.0155939
,0.0614028
,0.23053
,0.709544
,0.824366
,0.579147
,0.974943
,0.0977159
,0.35267
,0.913176
,0.317144
,0.866255
,0.46343
,0.994651
,0.0212835
,0.083322
,0.305518
,0.848707
,0.513615
,0.999259
,0.0029635
,0.0118189
,0.0467167
,0.178137
,0.585617
,0.970679
,0.113846
,0.40354
,0.962782
,0.143331
,0.49115
,0.999687
,0.00125271
,0.00500456
,0.0199181
,0.0780853
,0.287952
,0.820143
,0.590035
,0.967575
,0.125495
,0.438984
,0.985108
,0.0586793
,0.220944
,0.688512
,0.857853
,0.487764
,0.999401
,0.00239411
,0.00955352
,0.037849
,0.145666
,0.497789
,0.99998
,7.82167e-05
,0.000312842
,0.00125098
,0.00499765
,0.0198907
,0.0779803
,0.287597
,0.819541
,0.591575
,0.966456
,0.129676
,0.451439
,0.990567
,0.0373741
,0.143909
,0.492798
,0.999793
,0.000829819
,0.00331652
,0.0132221
,0.052189
,0.197861
,0.634849
,0.927263
,0.269785
,0.788005
,0.668212
,0.886819
,0.401486
,0.96118
,0.149253
,0.507906
,0.99975
,0.000999944
,0.00399578
,0.0159192
,0.0626633
,0.234946
,0.718986
,0.80818
,0.6201
,0.942304
,0.217468
,0.680703
,0.869386
,0.454216
,0.991615
,0.0332571
,0.128604
,0.448261
,0.989292
,0.0423726
,0.162309
,0.543858
,0.992306
,0.03054
,0.118429
,0.417615
,0.972851
,0.105649
,0.377949
,0.940414
